108,Describe this painting please.,approved,1,2022-03-09 08:59:45 UTC,2022-03-09 08:59:45 UTC,"[""art""]",https://www.gustav-klimt.com/images/paintings/The-Kiss.jpg
4,What does fire look like?,submitted,1,2022-03-02 01:05:09 UTC,2022-03-02 01:05:09 UTC,"[""miscellaneous"", ""nature""]",
5,What does Timothee Chalamet look like?,submitted,1,2022-03-02 01:11:47 UTC,2022-03-02 01:11:47 UTC,"[""People""]",
7,Describe the ugliest person you've ever met in detail.,approved,1,2022-03-02 01:16:06 UTC,2022-03-02 01:16:06 UTC,"[""people""]",
8,What does Schönbrunn Palace look like?,approved,1,2022-03-02 01:31:17 UTC,2022-03-02 01:31:17 UTC,"[""buildings""]",
9,What does a sunrise look like?,approved,1,2022-03-02 01:47:04 UTC,2022-03-02 01:47:04 UTC,"[""nature""]",
10,What does Kanye West look like?,approved,1,2022-03-02 02:02:17 UTC,2022-03-02 02:02:17 UTC,"[""people""]",
6,What does Timothee Chalamet look like?,published,1,2022-03-02 01:12:29 UTC,2022-03-02 02:24:39 UTC,"[""people""]",
1,Describe the Eiffel Tower.,published,1,2022-03-01 23:50:58 UTC,2022-03-02 07:32:41 UTC,"[""landmarks""]",
11,Describe how woman look different form men.,submitted,1,2022-03-02 23:03:32 UTC,2022-03-02 23:03:32 UTC,"[""people""]",
12,What does fire look like?,approved,1,2022-03-04 17:41:08 UTC,2022-03-04 17:41:08 UTC,"[""nature""]",
13,What do golden retrievers look like? My friend has one.,approved,1,2022-03-04 17:44:45 UTC,2022-03-04 17:44:45 UTC,"[""animals""]",
109,What does Neuschwanstein Castle look like?,approved,1,2022-03-09 09:02:18 UTC,2022-03-09 09:02:18 UTC,"[""buildings""]",
17,How do the different ethnicities differ in appearance?,approved,1,2022-03-04 18:04:37 UTC,2022-03-04 18:04:37 UTC,"[""people"", ""nature""]",
18,How would you describe the color red?,approved,1,2022-03-04 18:05:36 UTC,2022-03-04 18:05:36 UTC,"[""miscellaneous""]",
19,How would you describe the color blue?,approved,1,2022-03-04 18:07:24 UTC,2022-03-04 18:07:24 UTC,"[""miscellaneous""]",
20,What's a sunset look like?,approved,1,2022-03-04 18:13:07 UTC,2022-03-04 18:13:07 UTC,"[""nature""]",
110,what does fire look like?,approved,1,2022-03-10 01:39:48 UTC,2022-03-10 01:39:48 UTC,[],
111,What's Scarlet Johanson look like?,,1,2022-03-12 01:40:52 UTC,2022-03-12 01:40:52 UTC,[],
112,What's Scarlet Johanson look like?,,1,2022-03-12 01:41:50 UTC,2022-03-12 01:41:50 UTC,[],
113,What's Scarlet Johanson look like?,,1,2022-03-12 01:42:13 UTC,2022-03-12 01:42:13 UTC,[],
117,What's Scarlet Johanson look like?,approved,1,2022-03-12 01:46:46 UTC,2022-03-12 01:46:46 UTC,,
118,What does Tokyo look like?,approved,1,2022-03-12 01:46:46 UTC,2022-03-12 01:46:46 UTC,,
119,Is Emma Watson pretty?,approved,1,2022-03-12 01:46:46 UTC,2022-03-12 01:46:46 UTC,,
49,What is Timmy wearing in this photo?,approved,1,2022-03-07 21:16:30 UTC,2022-03-07 21:16:30 UTC,"[""people""]","https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/gettyimages-1193568705-1-1576249998.jpg?crop=1.00xw:0.667xh;0,0.0942xh&resize=980:*"
44,who dis?,published,1,2022-03-07 08:30:23 UTC,2022-03-07 18:57:48 UTC,[],
31,What does Donald Trump look like?,published,1,2022-03-06 18:53:47 UTC,2022-03-07 19:40:34 UTC,"[""people""]",
14,What does the White House look like?,published,1,2022-03-04 17:57:34 UTC,2022-03-07 19:41:47 UTC,"[""buildings"", ""landmarks""]",
45,What does fire look like?,published,1,2022-03-07 19:49:22 UTC,2022-03-07 19:58:29 UTC,[],
47,What does this spread look like? Describe each card and placement. Astrology knowledge needed.,approved,1,2022-03-07 21:07:01 UTC,2022-03-07 21:07:01 UTC,"[""miscellaneous"", ""objects""]",
61,What going on in this photo?,published,5,2022-03-08 01:23:59 UTC,2022-03-08 01:28:22 UTC,[],
